step	average_loss
100	11125.03068359375
200	10685.27396484375
300	10555.136572265625
400	10259.527646484376
500	9870.176591796875
600	9793.687099609375
700	9706.9486328125
800	9787.41443359375
900	9884.358505859374
1000	9786.782353515626
1100	9554.6158203125
1200	9378.767763671874
1300	9135.7659765625
1400	8945.358232421875
1500	8806.145546875
1600	8554.793408203124
1700	8515.18669921875
1800	8397.410439453124
1900	8163.892143554687
2000	7893.8160400390625
2100	7639.115927734375
2200	7321.1612158203125
2300	7052.632817382812
2400	6853.202954101563
2500	6676.686479492188
2600	6432.2252197265625
2700	6298.847182617187
2800	6092.759223632813
2900	5786.045107421875
3000	5593.757744140625
3100	5418.302036132813
3200	5224.361264648437
3300	4962.4
3400	4784.36369140625
3500	4573.708930664063
3600	4353.439594726562
3700	4206.520322265625
3800	3972.5638525390623
3900	3859.4313696289064
4000	3728.3319262695313
4100	3607.391862792969
4200	3470.390681152344
4300	3327.942795410156
4400	3138.6054052734376
4500	3000.4751513671877
4600	2848.2178930664063
4700	2664.787919921875
4800	2555.5977368164063
4900	2440.30462890625
5000	2308.9144897460938
5100	2219.198410644531
5200	2099.0046997070312
5300	2019.9344946289064
5400	1886.576473388672
5500	1800.8273107910156
5600	1688.5018383789063
5700	1602.0808850097656
5800	1536.7324951171875
5900	1466.5958081054687
6000	1398.6255200195312
6100	1290.475557861328
6200	1205.5234729003905
6300	1167.2488977050782
6400	1100.907528076172
6500	1041.080732421875
6600	976.1018096923829
6700	906.9964080810547
6800	843.4328601074219
6900	801.1128289794922
7000	735.3061547851562
7100	687.5550305175781
7200	638.7558227539063
7300	593.9195385742188
7400	533.3305944824219
7500	497.07206268310546
7600	450.2187283325195
7700	425.94726013183595
7800	388.45312866210935
7900	351.75756896972655
8000	316.96024658203123
8100	300.364658203125
8200	267.6859329223633
8300	241.62884750366212
8400	220.97985900878905
8500	204.02808074951173
8600	183.59137420654298
8700	168.8188247680664
8800	155.58172790527342
8900	137.6187580871582
9000	129.40288108825683
9100	114.09208793640137
9200	105.02538734436035
9300	105.0671011352539
9400	94.5070622253418
9500	88.28112365722656
9600	87.21130096435547
9700	74.62252361297607
9800	65.92933250427247
9900	66.22034259796142
10000	63.95440628051758
10100	61.50014678955078
10200	57.320968284606934
10300	55.877240104675295
10400	57.34831386566162
10500	56.89312114715576
10600	57.61322853088379
10700	58.629627532958985
10800	58.80392135620117
10900	51.932008781433105
11000	55.05613052368164
11100	62.53811389923096
11200	58.02616394042969
11300	57.191064071655276
11400	52.096380920410155
11500	58.73853610992432
11600	54.24634937286377
11700	52.44033283233642
11800	52.439776191711424
11900	50.98394195556641
12000	50.35909130096436
12100	53.001352310180664
12200	45.58105537414551
12300	51.47725646972656
12400	49.51335506439209
12500	47.30851303100586
12600	50.81337802886963
12700	55.444405250549316
12800	56.48650859832764
12900	49.99163143157959
13000	50.22000785827637
13100	50.12439334869385
13200	48.20517040252685
13300	49.0168187713623
13400	52.28361995697021
13500	51.22663562774658
13600	53.78522281646728
13700	50.96181003570557
13800	54.19629947662354
13900	51.5728726196289
14000	50.022398796081546
14100	55.8983423614502
14200	54.47402904510498
14300	50.91834705352783
14400	52.59721248626709
14500	52.850371475219724
14600	50.345304069519045
14700	45.88060348510742
14800	48.841221199035644
14900	46.99354694366455
15000	50.951508369445804
15100	44.512252960205075
15200	47.22490776062012
15300	46.70986183166504
15400	46.158075141906735
15500	50.10463146209717
15600	48.563813819885254
15700	50.980957984924316
15800	50.92944881439209
15900	51.34109401702881
16000	52.090842170715334
16100	49.43397010803223
16200	46.655833587646484
16300	47.34918056488037
16400	51.895873641967775
16500	48.49546722412109
16600	49.968576431274414
16700	52.09048217773437
16800	48.28597618103027
16900	49.08185997009277
17000	48.472661056518554
17100	48.22400592803955
17200	49.619339332580566
17300	48.02726089477539
17400	48.558413391113284
17500	47.58330749511719
17600	47.53323017120361
17700	48.85242538452148
17800	47.436398353576664
17900	46.17339511871338
18000	49.08058681488037
18100	49.071716117858884
18200	47.380091171264645
18300	46.748952293395995
18400	47.57871643066406
18500	46.208555717468265
18600	45.89575763702393
18700	44.693464279174805
18800	48.16594570159912
18900	45.47897270202637
19000	47.958686637878415
19100	46.87424213409424
19200	45.732078094482425
19300	44.705240898132324
19400	51.132767028808594
19500	49.20734512329101
19600	48.364088706970215
19700	50.585929489135744
19800	45.5622847366333
19900	46.58950454711914
20000	48.00962936401367
